Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Chat_response,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
Lord Xeric,12845,-1,-1,1419,20775,-1,-1,20777,-1,9922,9921,-1,3291,3375,-1,NA,1798,99,91,99,99,96,77,86,74,91,80,75,78,75,70,72,58,70,74,88,56,54,64,72,mining
Moreevoke501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,315,2,1,1,49,1,15,63,1,55,1,1,55,1,1,60,1,1,1,1,1,1,1,1,mining
Gustabo2000,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3285,3370,624,NA,335,50,50,50,50,1,16,1,1,52,1,10,1,4,1,39,1,1,1,1,1,1,1,1,mining
Kyng Brumear,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3283,3368,-1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,1,1,1,1,1,1,1,1,mining
Sofagrill,579,-1,1725,1387,577,1191,-1,6655,-1,1059,1061,-1,3291,3374,-1,NA,248,22,10,21,24,1,15,30,12,36,1,12,37,5,2,12,1,1,1,1,1,1,1,1,mining
erika sex,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3284,3369,-1,NA,131,1,1,1,10,1,1,1,1,19,1,41,1,1,1,42,1,1,1,1,1,1,1,1,mining
Zergbanger,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3286,3370,-1,NA,577,61,44,44,52,1,46,38,6,36,1,20,40,31,44,54,1,31,13,1,1,10,1,1,mining
Jhawk9191,-1,1027,1731,853,6654,-1,-1,1099,-1,1065,-1,-1,3290,3377,-1,NA,241,1,3,1,45,56,28,1,1,1,1,1,1,1,43,49,1,1,1,1,1,1,1,1,mining
Sir Mike 59,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,629,NA,216,20,10,10,19,13,12,1,21,10,1,9,13,1,29,39,1,1,1,1,1,1,1,1,mining
andres1980,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TheAIBillNye,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3286,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
merdenondedj,1141,-1,-1,1299,1109,-1,-1,1067,-1,1059,1061,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
endryrx 2017,-1,-1,-1,1325,1129,1171,-1,-1,-1,1059,1061,-1,3292,3376,1156,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
wsonjose123,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Safiro D,-1,4351,1731,1267,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
T1T4N SK1LL,7394,4343,10364,1267,7390,-1,-1,7386,-1,2922,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
MalakFares,1137,-1,-1,1325,1115,1189,-1,1067,-1,1059,-1,-1,3288,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
JarJarBrinks,1153,-1,1654,1267,1101,1175,-1,1075,-1,1059,-1,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
xo_Queenie16,6188,-1,1654,1339,1101,1177,-1,1067,-1,1059,3061,-1,3284,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
25eduar,-1,-1,-1,1351,-1,1171,-1,-1,-1,-1,-1,-1,3285,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Twistnx,1141,1007,1654,1311,1119,-1,-1,1067,-1,1059,1061,-1,3289,3367,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TacoKittenz,-1,-1,-1,1349,-1,-1,-1,-1,-1,-1,-1,-1,3285,3373,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SEBASTIANFSV,1949,1007,1009,1265,1005,1173,-1,-1,-1,-1,-1,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Jc171,12600,13679,21314,1277,-1,1173,-1,-1,-1,-1,-1,-1,3283,3364,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CoolCatKill,1055,1021,1731,-1,577,-1,-1,-1,-1,-1,9006,-1,3294,3379,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
BillAckman12,-1,-1,-1,1267,-1,-1,-1,-1,-1,-1,-1,-1,3289,3362,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Hayley 935,-1,-1,-1,1265,1115,1173,-1,1067,-1,-1,-1,-1,3286,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SirTivi,579,4365,1727,1381,577,1193,-1,1011,-1,1059,1061,-1,3290,3379,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CamGoose,1165,1019,1731,1327,1125,1195,-1,1077,-1,-1,-1,-1,3294,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CalebDavid25,1153,-1,-1,1265,1101,1191,-1,1075,-1,1059,-1,-1,3284,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
tradervic,-1,-1,-1,1321,-1,-1,-1,-1,-1,-1,-1,-1,3286,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
thive killer,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3282,3363,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SirGolfalot,-1,-1,-1,1267,-1,-1,-1,-1,-1,1059,1061,-1,3290,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Bobbing1654,-1,-1,-1,1269,-1,-1,-1,-1,-1,-1,-1,-1,3289,3362,627,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Hans Kropf 1,-1,-1,552,1293,-1,1171,-1,-1,-1,1059,1061,-1,3295,3380,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Rob 2506,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3283,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
33run1781,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3288,3369,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
MrWhiss,-1,-1,-1,-1,6654,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
imDips,-1,-1,-1,1269,-1,-1,-1,-1,-1,-1,-1,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
IrieLuDa2,-1,-1,-1,1269,-1,-1,-1,-1,-1,-1,-1,-1,3283,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Iron Law 624,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
C0DE GR33N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Jalryx,-1,-1,-1,1265,-1,13660,-1,-1,-1,-1,9006,-1,3289,3362,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
DrakssTar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
RevanantHide,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3285,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Charloht VZ,579,-1,-1,1275,1035,-1,-1,1033,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
young wuff,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
cantpkffss,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3282,3366,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Elk Kite 404,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Detail 2764,-1,-1,1731,1271,-1,-1,-1,-1,-1,-1,-1,-1,3287,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
IB1ZaaaL0ots,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3287,3364,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TheDAFman,1157,1019,1725,1295,1119,1193,-1,1069,-1,1063,-1,-1,3282,3363,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
lo22hugo,1139,-1,552,841,1129,-1,-1,-1,-1,1059,-1,-1,3294,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TenX001,-1,-1,-1,853,-1,-1,-1,-1,-1,-1,-1,-1,3287,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Frazuccino,1155,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3289,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
1 Taylor,-1,-1,-1,9703,-1,9704,-1,-1,-1,-1,-1,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
the_Fox32,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Ther Facthor,-1,-1,-1,12297,-1,1191,-1,-1,-1,-1,-1,-1,3285,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Airhain,-1,-1,1725,1339,1757,-1,-1,1095,-1,1063,1061,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Wulfis1995,1153,-1,1478,1323,1115,1175,-1,1067,-1,2912,1061,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
L0onyTunes,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3287,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
77 Misty 868,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,1061,-1,3282,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
NATSU 350,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3286,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
richarlys,-1,-1,-1,-1,-1,-1,-1,6655,-1,-1,-1,-1,3290,3350,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Taylor Kingg,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3286,3370,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ReverseGeam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3277,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
codeyt,1137,-1,-1,1293,1101,1171,-1,1067,-1,1063,-1,-1,3193,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
47 Iron 1423,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3181,3371,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SergentPois,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3181,3372,624,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Buried Al,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3175,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
56ward1188,1137,-1,616,1265,1101,1175,-1,-1,-1,-1,-1,-1,3181,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
lvirus534,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3185,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
AlVizard,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
RootDelmore,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3175,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
xDarinus,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3180,3371,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Accrete Fair,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3178,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
imsocareful,1157,4325,1731,1357,1121,1179,-1,1071,-1,1059,1061,-1,3167,3386,869,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Male Zeb,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,624,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Dam Figs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3180,3371,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SeranaMojers,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Nickstphnsn,1165,-1,-1,1329,1125,1171,-1,1077,-1,1059,1061,-1,3181,3381,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
AG Bel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3177,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
RaviEY,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3181,3374,624,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Djjunio15,-1,-1,-1,1271,-1,-1,-1,-1,-1,-1,-1,-1,3175,3367,628,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
HyAuteurs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3182,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Tarah J,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3180,3371,628,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
VioletSal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3182,3377,628,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
vedomotacogu,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
KX Zena,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3175,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Rayarc2581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,628,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Lydie A,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3180,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
nathalyvbs,1017,-1,1727,1387,1035,-1,-1,1033,-1,-1,1061,-1,3192,3362,714,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
PerdomoHeste,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,627,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Tubed Kale,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3181,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Mayita26,-1,1007,1478,1265,-1,-1,-1,1085,-1,3060,1061,-1,3175,3365,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Rilex Papum,1153,-1,1009,1265,1117,1175,-1,1075,-1,-1,-1,-1,3177,3369,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
alemavila,1017,1007,1478,1387,1035,2603,-1,1033,-1,2912,1061,-1,3192,3362,714,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Free Tintin,12453,20211,23354,1381,12449,13660,-1,12445,-1,2912,23294,-1,3175,3367,-1,Omf ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
HowiePomade,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3182,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
